Format Version,1.23,Take Name,G2CCWNinety_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-10-11 09.59.21.467 AM,Capture Start Frame,528893,Total Frames in Take,950,Total Exported Frames,950,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,MobRob,MobRob,MobRob,MobRob,MobRob,MobRob,MobRob,"MobRob:Marker1","MobRob:Marker1","MobRob:Marker1","MobRob:Marker1","MobRob:Marker2","MobRob:Marker2","MobRob:Marker2","MobRob:Marker2","MobRob:Marker3","MobRob:Marker3","MobRob:Marker3","MobRob:Marker3","MobRob:Marker4","MobRob:Marker4","MobRob:Marker4","MobRob:Marker4",MobRob:Marker1,MobRob:Marker1,MobRob:Marker1,MobRob:Marker2,MobRob:Marker2,MobRob:Marker2,MobRob:Marker3,MobRob:Marker3,MobRob:Marker3,MobRob:Marker4,MobRob:Marker4,MobRob:Marker4,Unlabeled 1353,Unlabeled 1353,Unlabeled 1353
,ID,"56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","C3A40","C3A40","C3A40","C3AA0","C3AA0","C3AA0","C3A90","C3A90","C3A90","C36E0","C36E0","C36E0","C3DA0","C3DA0","C3DA0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,93.635498,-0.954434,0.317132,0.061783,0.156249,0.099764,0.001034,-0.026919,0.150262,0.260091,0.401511,0.137433,0.159003,0.099702,0.575135,0.026267,0.161895,0.145989,0.537813,-0.006489,0.151390,0.097897,0.331204,-0.027303,0.148268,0.261360,0.136975,0.157757,0.100763,0.025718,0.160371,0.146879,-0.006825,0.149820,0.100038,,,
1,0.008333,93.635498,-0.951271,0.317104,0.061788,0.156246,0.099760,0.001037,-0.026914,0.150264,0.260087,0.401511,0.137438,0.158996,0.099698,0.575135,0.026272,0.161894,0.145985,0.537813,-0.006484,0.151391,0.097893,0.331204,-0.027304,0.148272,0.261356,0.136983,0.157756,0.100753,0.025724,0.160356,0.146881,-0.006824,0.149813,0.100049,,,
2,0.016667,93.635406,-0.951283,0.316293,0.061790,0.156241,0.099761,0.001042,-0.026912,0.150262,0.260088,0.401422,0.137440,0.158991,0.099699,0.577302,0.026274,0.161891,0.145986,0.534244,-0.006482,0.151386,0.097894,0.326944,-0.027297,0.148258,0.261373,0.136986,0.157744,0.100751,0.025725,0.160356,0.146878,-0.006822,0.149807,0.100046,,,
3,0.025000,93.634895,-0.955054,0.314057,0.061789,0.156232,0.099770,0.001043,-0.026915,0.150252,0.260096,0.397066,0.137439,0.158987,0.099708,0.576545,0.026272,0.161880,0.145994,0.535324,-0.006483,0.151372,0.097902,0.327469,-0.027304,0.148244,0.261370,0.136983,0.157733,0.100776,0.025732,0.160350,0.146879,-0.006815,0.149797,0.100049,,,
4,0.033333,93.636047,-0.954791,0.317821,0.061794,0.156242,0.099752,0.001041,-0.026906,0.150253,0.260080,0.394865,0.137444,0.158996,0.099689,0.573765,0.026279,0.161888,0.145977,0.533969,-0.006478,0.151383,0.097886,0.324269,-0.027308,0.148243,0.261369,0.136992,0.157745,0.100755,0.025729,0.160348,0.146873,-0.006824,0.149795,0.100046,,,
5,0.041667,93.636581,-0.956372,0.313501,0.061787,0.156240,0.099758,0.001041,-0.026912,0.150259,0.260087,0.403739,0.137437,0.158996,0.099694,0.575662,0.026272,0.161887,0.145983,0.539574,-0.006485,0.151378,0.097893,0.327126,-0.027293,0.148268,0.261343,0.136982,0.157752,0.100755,0.025724,0.160361,0.146855,-0.006826,0.149802,0.100048,,,
