Format Version,1.23,Take Name,G2CWNinety_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-10-11 09.59.56.034 AM,Capture Start Frame,533045,Total Frames in Take,754,Total Exported Frames,754,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,MobRob,MobRob,MobRob,MobRob,MobRob,MobRob,MobRob,"MobRob:Marker1","MobRob:Marker1","MobRob:Marker1","MobRob:Marker1","MobRob:Marker2","MobRob:Marker2","MobRob:Marker2","MobRob:Marker2","MobRob:Marker3","MobRob:Marker3","MobRob:Marker3","MobRob:Marker3","MobRob:Marker4","MobRob:Marker4","MobRob:Marker4","MobRob:Marker4",MobRob:Marker1,MobRob:Marker1,MobRob:Marker1,MobRob:Marker2,MobRob:Marker2,MobRob:Marker2,MobRob:Marker3,MobRob:Marker3,MobRob:Marker3,MobRob:Marker4,MobRob:Marker4,MobRob:Marker4
,ID,"56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","C3A40","C3A40","C3A40","C3DA0","C3DA0","C3DA0","C3A90","C3A90","C3A90","C3EA0","C3EA0","C3EA0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,94.422134,-0.461881,0.923478,0.110738,0.157246,0.098737,0.001042,0.024207,0.150474,0.260215,0.410187,0.186403,0.159300,0.097649,0.624529,0.075919,0.162757,0.145504,0.489996,0.042404,0.153037,0.097771,0.197563,0.023834,0.148550,0.261528,0.186069,0.158212,0.098629,0.075347,0.161025,0.146417,0.042099,0.150853,0.100103
1,0.008333,94.409081,-0.668638,0.678881,0.110769,0.156962,0.098803,0.001029,0.024220,0.150492,0.260284,0.410187,0.186425,0.159309,0.097728,0.624529,0.075915,0.162522,0.145539,0.489996,0.042452,0.152481,0.097837,0.197563,0.023826,0.148521,0.261553,0.186088,0.158205,0.098615,0.075350,0.161002,0.146416,0.042101,0.150835,0.100109
2,0.016667,94.419685,-0.457942,0.922476,0.110745,0.157224,0.098745,0.001039,0.024206,0.150462,0.260219,0.405621,0.186409,0.159274,0.097661,0.636011,0.075924,0.162739,0.145511,0.539077,0.042411,0.153020,0.097777,0.293223,0.023834,0.148532,0.261543,0.186085,0.158208,0.098615,0.075357,0.161011,0.146423,0.042112,0.150854,0.100090
3,0.025000,94.422714,-0.461291,0.922732,0.110744,0.157233,0.098745,0.001040,0.024214,0.150465,0.260224,0.407630,0.186408,0.159287,0.097657,0.633205,0.075924,0.162746,0.145513,0.491384,0.042410,0.153026,0.097781,0.204010,0.023839,0.148535,0.261555,0.186080,0.158205,0.098628,0.075346,0.161008,0.146432,0.042110,0.150862,0.100090
4,0.033333,94.410538,-0.673712,0.678221,0.110758,0.156970,0.098814,0.001018,0.024214,0.150494,0.260297,0.417300,0.186414,0.159325,0.097736,0.636271,0.075905,0.162528,0.145551,0.541321,0.042442,0.152484,0.097849,0.300646,0.023829,0.148557,0.261535,0.186082,0.158219,0.098622,0.075345,0.161018,0.146430,0.042102,0.150851,0.100095
5,0.041667,94.411446,-0.671849,0.680839,0.110760,0.156981,0.098815,0.001018,0.024218,0.150501,0.260299,0.412331,0.186416,0.159332,0.097736,0.635359,0.075907,0.162538,0.145553,0.546817,0.042444,0.152497,0.097851,0.297431,0.023820,0.148554,0.261556,0.186079,0.158225,0.098624,0.075350,0.161044,0.146415,0.042103,0.150859,0.100109
6,0.050000,94.419487,-0.455923,0.924272,0.110744,0.157241,0.098738,0.001046,0.024204,0.150478,0.260212,0.401225,0.186408,0.159288,0.097655,0.622390,0.075923,0.162756,0.145504,0.485311,0.042410,0.153040,0.097770,0.194675,0.023826,0.148536,0.261563,0.186074,0.158197,0.098644,0.075342,0.161012,0.146432,0.042111,0.150844,0.100107
7,0.058333,94.411865,-0.672146,0.678084,0.110763,0.156964,0.098806,0.001025,0.024223,0.150491,0.260291,0.409176,0.186419,0.159317,0.097726,0.633878,0.075911,0.162523,0.145543,0.542179,0.042447,0.152480,0.097843,0.294227,0.023834,0.148529,0.261549,0.186083,0.158208,0.098622,0.075339,0.161017,0.146414,0.042104,0.150833,0.100110
8,0.066667,94.411034,-0.670626,0.682307,0.110768,0.156975,0.098807,0.001023,0.024225,0.150493,0.260290,0.409176,0.186424,0.159324,0.097729,0.633878,0.075916,0.162531,0.145544,0.542179,0.042452,0.152492,0.097842,0.294227,0.023835,0.148540,0.261533,0.186084,0.158217,0.098610,0.075353,0.161029,0.146419,0.042120,0.150854,0.100102
9,0.075000,94.425430,-0.673776,0.699237,0.110807,0.157043,0.098765,0.001027,0.024305,0.150510,0.260269,0.413295,0.186462,0.159395,0.097669,0.636132,0.075966,0.162584,0.145513,0.543217,0.042490,0.152559,0.097817,0.297329,0.023840,0.148555,0.261537,0.186085,0.158233,0.098609,0.075354,0.161029,0.146411,0.042121,0.150867,0.100089
10,0.083333,94.411819,-0.668963,0.680799,0.110758,0.156973,0.098813,0.001019,0.024217,0.150498,0.260298,0.405834,0.186414,0.159321,0.097734,0.614451,0.075906,0.162532,0.145551,0.525737,0.042442,0.152492,0.097849,0.285982,0.023832,0.148569,0.261529,0.186076,0.158217,0.098616,0.075349,0.161032,0.146415,0.042103,0.150862,0.100090
