Format Version,1.23,Take Name,G2StraightLine,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-10-11 09.42.21.162 AM,Capture Start Frame,405202,Total Frames in Take,1000,Total Exported Frames,1000,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,MobRob,MobRob,MobRob,MobRob,MobRob,MobRob,MobRob,"MobRob:Marker1","MobRob:Marker1","MobRob:Marker1","MobRob:Marker1","MobRob:Marker2","MobRob:Marker2","MobRob:Marker2","MobRob:Marker2","MobRob:Marker3","MobRob:Marker3","MobRob:Marker3","MobRob:Marker3","MobRob:Marker4","MobRob:Marker4","MobRob:Marker4","MobRob:Marker4",MobRob:Marker1,MobRob:Marker1,MobRob:Marker1,MobRob:Marker2,MobRob:Marker2,MobRob:Marker2,MobRob:Marker3,MobRob:Marker3,MobRob:Marker3,MobRob:Marker4,MobRob:Marker4,MobRob:Marker4
,ID,"56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","C4E30","C4E30","C4E30","C4D80","C4D80","C4D80","C4E50","C4E50","C4E50","C4E70","C4E70","C4E70"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,96.806427,-0.626087,0.235974,0.132349,0.157064,0.064313,0.000930,0.052618,0.151862,0.229311,0.680857,0.207894,0.159392,0.060062,0.629324,0.099476,0.162993,0.112418,0.532365,0.064053,0.152587,0.066234,0.422952,0.053127,0.153032,0.229321,0.207576,0.158249,0.060950,0.099068,0.161537,0.113521,0.063809,0.151120,0.067999
1,0.008333,96.809166,-0.632758,0.230505,0.132344,0.157072,0.064306,0.000929,0.052621,0.151873,0.229309,0.680857,0.207888,0.159410,0.060052,0.629324,0.099472,0.163000,0.112413,0.532365,0.064048,0.152586,0.066231,0.422952,0.053138,0.153047,0.229312,0.207576,0.158275,0.060930,0.099052,0.161527,0.113527,0.063799,0.151118,0.067998
2,0.016667,96.811012,-0.628922,0.230300,0.132334,0.157067,0.064310,0.000929,0.052616,0.151875,0.229316,0.680194,0.207878,0.159399,0.060053,0.639732,0.099464,0.162998,0.112418,0.522739,0.064038,0.152585,0.066237,0.421463,0.053123,0.153049,0.229320,0.207567,0.158283,0.060910,0.099043,0.161514,0.113543,0.063794,0.151115,0.068007
3,0.025000,96.808937,-0.631401,0.232887,0.132343,0.157070,0.064319,0.000928,0.052619,0.151866,0.229321,0.682926,0.207887,0.159405,0.060065,0.632726,0.099471,0.162997,0.112426,0.528922,0.064047,0.152585,0.066243,0.428705,0.053119,0.153032,0.229320,0.207572,0.158272,0.060946,0.099051,0.161532,0.113534,0.063805,0.151131,0.067990
4,0.033333,96.809494,-0.631799,0.229998,0.132353,0.157065,0.064314,0.000934,0.052631,0.151868,0.229317,0.682926,0.207897,0.159401,0.060059,0.632726,0.099481,0.162994,0.112421,0.528922,0.064057,0.152579,0.066239,0.428705,0.053152,0.153049,0.229318,0.207576,0.158261,0.060946,0.099074,0.161515,0.113536,0.063803,0.151108,0.068011
5,0.041667,96.805779,-0.630146,0.230102,0.132353,0.157064,0.064316,0.000935,0.052619,0.151870,0.229314,0.677232,0.207897,0.159398,0.060066,0.630125,0.099478,0.162994,0.112421,0.525895,0.064057,0.152581,0.066237,0.420676,0.053137,0.153058,0.229325,0.207578,0.158264,0.060943,0.099071,0.161522,0.113524,0.063814,0.151128,0.067980
