Format Version,1.23,Take Name,RotationTest_009,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-10-09 01.37.45.963 PM,Capture Start Frame,996143,Total Frames in Take,4513,Total Exported Frames,4513,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,Unlabeled 1875,Unlabeled 1875,Unlabeled 1875,Unlabeled 1876,Unlabeled 1876,Unlabeled 1876,Unlabeled 1877,Unlabeled 1877,Unlabeled 1877,Unlabeled 1878,Unlabeled 1878,Unlabeled 1878,Unlabeled 1879,Unlabeled 1879,Unlabeled 1879,Unlabeled 1881,Unlabeled 1881,Unlabeled 1881,Unlabeled 1882,Unlabeled 1882,Unlabeled 1882,Unlabeled 1883,Unlabeled 1883,Unlabeled 1883,Unlabeled 1884,Unlabeled 1884,Unlabeled 1884,Unlabeled 1885,Unlabeled 1885,Unlabeled 1885
,ID,"6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","6899527D866311EFD78ED9B15AC47DAE","C3500","C3500","C3500","C3510","C3510","C3510","C3520","C3520","C3520","C3530","C3530","C3530","4E9F922D866511EFD78ED9B15AC47DAE","4E9F922D866511EFD78ED9B15AC47DAE","4E9F922D866511EFD78ED9B15AC47DAE","4E9F922E866511EFD78ED9B15AC47DAE","4E9F922E866511EFD78ED9B15AC47DAE","4E9F922E866511EFD78ED9B15AC47DAE","4E9F922F866511EFD78ED9B15AC47DAE","4E9F922F866511EFD78ED9B15AC47DAE","4E9F922F866511EFD78ED9B15AC47DAE","4E9F9230866511EFD78ED9B15AC47DAE","4E9F9230866511EFD78ED9B15AC47DAE","4E9F9230866511EFD78ED9B15AC47DAE","C3540","C3540","C3540","C3560","C3560","C3560","C3570","C3570","C3570","C3580","C3580","C3580","C3590","C3590","C3590","C35B0","C35B0","C35B0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-151.410263,-0.453840,-1.055720,0.283835,0.156496,0.417587,0.000301,0.186310,0.158719,0.396131,0.893383,0.271670,0.163836,0.478171,0.899617,0.280987,0.150903,0.418818,0.916173,0.396374,0.152526,0.377227,0.930624,0.186203,0.158641,0.395725,0.271770,0.163783,0.478556,0.280910,0.151086,0.419088,0.396461,0.152465,0.376971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-151.417343,-0.469752,-1.058172,0.283841,0.156498,0.417573,0.000308,0.186319,0.158736,0.396105,0.893383,0.271670,0.163823,0.478158,0.899617,0.280993,0.150904,0.418802,0.916173,0.396385,0.152528,0.377227,0.930624,0.186205,0.158661,0.395696,0.271767,0.163774,0.478554,0.280930,0.151080,0.419064,0.396467,0.152469,0.376973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-151.406387,-0.466660,-1.075195,0.283861,0.156508,0.417566,0.000338,0.186334,0.158720,0.396117,0.892155,0.271698,0.163825,0.478154,0.897207,0.281014,0.150914,0.418796,0.919709,0.396398,0.152575,0.377198,0.931693,0.186210,0.158649,0.395710,0.271778,0.163777,0.478548,0.280928,0.151084,0.419083,0.396531,0.152515,0.376914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-151.404205,-0.456451,-1.071436,0.283859,0.156508,0.417571,0.000337,0.186331,0.158713,0.396125,0.892126,0.271698,0.163835,0.478158,0.898858,0.281012,0.150913,0.418801,0.913814,0.396394,0.152569,0.377199,0.919995,0.186202,0.158640,0.395725,0.271790,0.163787,0.478546,0.280919,0.151084,0.419077,0.396530,0.152510,0.376926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-151.406998,-0.457614,-1.065634,0.283852,0.156502,0.417579,0.000315,0.186325,0.158716,0.396129,0.894020,0.271690,0.163832,0.478165,0.900131,0.281005,0.150908,0.418810,0.917143,0.396389,0.152551,0.377213,0.927980,0.186208,0.158640,0.395728,0.271781,0.163781,0.478551,0.280928,0.151086,0.419078,0.396494,0.152491,0.376952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-151.406738,-0.460594,-1.067243,0.283844,0.156507,0.417573,0.000320,0.186317,0.158722,0.396123,0.894491,0.271682,0.163834,0.478159,0.899653,0.280997,0.150913,0.418803,0.917738,0.396381,0.152559,0.377206,0.926382,0.186201,0.158650,0.395724,0.271770,0.163786,0.478548,0.280916,0.151085,0.419072,0.396493,0.152500,0.376940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
